company,sub_industry,type_company,location,url_page_details
A1-Future-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Kolkata / West Bengal 
	- 700037
",https://www.fundoodata.com/companies-detail/A1-Future-Technologies-Pvt-Ltd/83635.html?&pageno=84
A2Mac1-India-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Chennai / Tamil Nadu 
	- 631604
",https://www.fundoodata.com/companies-detail/A2Mac1-India-Pvt-Ltd/152780.html?&pageno=85
A2Z-applications.com-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Kolkata / West Bengal 
	- 700156
",https://www.fundoodata.com/companies-detail/A2Z-applications.com-Pvt-Ltd/84986.html?&pageno=86
A3-Internet-Wings-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400064
",https://www.fundoodata.com/companies-detail/A3-Internet-Wings-Pvt-Ltd/135294.html?&pageno=87
A4-Creations-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Kolkata / West Bengal 
	- 700026
",https://www.fundoodata.com/companies-detail/A4-Creations-Pvt-Ltd/49123.html?&pageno=88
AAA-Digital-X-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Bangalore / Bengaluru / Karnataka 
	- 560095
",https://www.fundoodata.com/companies-detail/AAA-Digital-X-Solutions-Pvt-Ltd/86360.html?&pageno=89
AAA-Infotech-Pvt-Ltd," IT Software , QA -Testing, IT- Telecom
"," SMEs
"," Noida / Uttar Pradesh 
	- 201301
",https://www.fundoodata.com/companies-detail/AAA-Infotech-Pvt-Ltd/135298.html?&pageno=90
AAA-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400072
",https://www.fundoodata.com/companies-detail/AAA-Technologies-Pvt-Ltd/51028.html?&pageno=91
Aabasoft-Technologies-India-Pvt-Ltd," IT Software , QA -Testing
"," Industry Top
"," Kochi / Kerala 
	- 682030
",https://www.fundoodata.com/companies-detail/Aabasoft-Technologies-India-Pvt-Ltd/117440.html?&pageno=92
Aabsys-IT-Pvt-Ltd," IT Software , QA -Testing
"," Industry Top
"," Bhubaneswar / Orissa 
	- 751024
",https://www.fundoodata.com/companies-detail/Aabsys-IT-Pvt-Ltd/46530.html?&pageno=93
Aadhityaa-Infomedia-Solutions," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600017
",https://www.fundoodata.com/companies-detail/Aadhityaa-Infomedia-Solutions/114060.html?&pageno=94
Aadhocc-Software-Technologies-Pvt-Ltd," IT- ERP , CRM
"," SMEs
"," Kochi / Kerala 
	- 682025
",https://www.fundoodata.com/companies-detail/Aadhocc-Software-Technologies-Pvt-Ltd/150890.html?&pageno=95
Aadi-Infotech," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400601
",https://www.fundoodata.com/companies-detail/Aadi-Infotech/78268.html?&pageno=96
Aaditri-Technology," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110092
",https://www.fundoodata.com/companies-detail/Aaditri-Technology/149806.html?&pageno=97
Aadya-It-Solutions," IT Software , QA -Testing
"," SMEs
"," Mysore / Karnataka 
	- 570023
",https://www.fundoodata.com/companies-detail/Aadya-It-Solutions/78342.html?&pageno=98
Aaerosoft," IT Software , QA -Testing
"," SMEs
"," Kolkata / West Bengal 
	- 700028
",https://www.fundoodata.com/companies-detail/Aaerosoft/108103.html?&pageno=99
Aakit-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400059
",https://www.fundoodata.com/companies-detail/Aakit-Technologies-Pvt-Ltd/47133.html?&pageno=100
Aalpha-Information-Systems-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Hubli / Karnataka 
	- 580021
",https://www.fundoodata.com/companies-detail/Aalpha-Information-Systems-India-Pvt-Ltd/62535.html?&pageno=101
Aamod-Info-Pvt-Ltd," IT Software , QA -Testing, IT- Embedded ,  EDA , VLSI
"," SMEs
"," Ranchi / Jharkhand 
	- 834001
",https://www.fundoodata.com/companies-detail/Aamod-Info-Pvt-Ltd/122120.html?&pageno=102
Aaneel-Infotech," IT Software , QA -Testing
"," MNC
"," Ahmedabad / Gujarat 
	- 380001
",https://www.fundoodata.com/companies-detail/Aaneel-Infotech/126692.html?&pageno=103
,,,,
AANNYA-Softwares-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110085
",https://www.fundoodata.com/companies-detail/AANNYA-Softwares-Pvt-Ltd/143612.html?&pageno=104
Aanvi-Support-Services-Pvt-Ltd," IT- Network Admin , Database , Datacenter , Security
"," Industry Top
"," Kolkata / West Bengal 
	- 700020
",https://www.fundoodata.com/companies-detail/Aanvi-Support-Services-Pvt-Ltd/142146.html?&pageno=105
Aapna-Infotech-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110058
",https://www.fundoodata.com/companies-detail/Aapna-Infotech-Pvt-Ltd/66487.html?&pageno=106
Aara-Tech-Pvt-Ltd," IT Software , QA -Testing, IT- Hardware, IT- Consulting
"," Industry Top
"," Chennai / Tamil Nadu 
	- 600113
",https://www.fundoodata.com/companies-detail/Aara-Tech-Pvt-Ltd/46427.html?&pageno=107
Aarav-Infotech-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400072
",https://www.fundoodata.com/companies-detail/Aarav-Infotech-India-Pvt-Ltd/107564.html?&pageno=108
Aaric-Technologies-Ltd," IT Software , QA -Testing
"," SMEs
"," Thiruvananthapuram / Kerala 
	- 695581
",https://www.fundoodata.com/companies-detail/Aaric-Technologies-Ltd/80821.html?&pageno=109
Aark-Infosoft-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Ahmedabad / Gujarat 
	- 380007
",https://www.fundoodata.com/companies-detail/Aark-Infosoft-Pvt-Ltd/111691.html?&pageno=110
Aarna-Global-Infotech-Solutions-Pvt-Ltd," IT- Consulting
"," SMEs
"," New Delhi / Delhi 
	- 110085
",https://www.fundoodata.com/companies-detail/Aarna-Global-Infotech-Solutions-Pvt-Ltd/130527.html?&pageno=111
Aarna-Systems-Pvt-Ltd," IT Software , QA -Testing, IT- Network Admin , Database , Datacenter , Security
"," SMEs
"," Pune / Maharashtra 
	- 411052
",https://www.fundoodata.com/companies-detail/Aarna-Systems-Pvt-Ltd/141190.html?&pageno=112
Aartech-Solonics-Ltd," IT Software , QA -Testing
"," SMEs
"," Bhopal / Madhya Pradesh 
	- 462016
",https://www.fundoodata.com/companies-detail/Aartech-Solonics-Ltd/52714.html?&pageno=113
Aartek-Software-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Indore / Madhya Pradesh 
	- 452001
",https://www.fundoodata.com/companies-detail/Aartek-Software-Solutions-Pvt-Ltd/153582.html?&pageno=114
Aaryan-Infotech," IT Software , QA -Testing
"," SMEs
"," Mumbai / Maharashtra 
	- 400607
",https://www.fundoodata.com/companies-detail/Aaryan-Infotech/35407.html?&pageno=115
Aashee-Infotech-Ltd-(Jatalia-Group)," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110033
",https://www.fundoodata.com/companies-detail/Aashee-Infotech-Ltd-(Jatalia-Group)/88519.html?&pageno=116
Aashnik-Incorporated," IT- Hardware
"," SMEs
"," Vadodara / Gujarat 
	- 390007
",https://www.fundoodata.com/companies-detail/Aashnik-Incorporated/95554.html?&pageno=117
Aashra-Web-Solution," IT Software , QA -Testing
"," SMEs
"," Gondia / Maharashtra 
	- 441601
",https://www.fundoodata.com/companies-detail/Aashra-Web-Solution/132949.html?&pageno=118
Aatash-Norcontrol-Ltd," IT- Network Admin , Database , Datacenter , Security, Shipping Infrastructure , Services
"," Industry Top
"," Ahmedabad / Gujarat 
	- 380059
",https://www.fundoodata.com/companies-detail/Aatash-Norcontrol-Ltd/75962.html?&pageno=119
Aath-info-solutions," IT Software , QA -Testing, IT- Consulting
"," SMEs
"," New Delhi / Delhi 
	- 110024
",https://www.fundoodata.com/companies-detail/Aath-info-solutions/151211.html?&pageno=120
