company,address,location_phones,web_company
Abacus Softech Ltd,"  Address - Flat No 18, DSIDC, Work Center				        New Delhi	                Delhi , 110091	 (011) 09811147272",,
ABAS Software Solutions Pvt Ltd,"  Address - Plot 46, 1st Floor, Kirti Nagar				  				  Main Jharsa Road","				        Gurgaon/Gurugram	                Haryana , 122001	 (0124) 8130046816   8130046921",www.abas-software.in
Abax Soft Solutions,"  Address - 501, Industry House,     Old Palasia, Ab Road				        Indore	                Madhya Pradesh , 452001	 (0731) 4061787  8359971799",www.abaxsoft.com,
ABC for Java and Testing,"  Address - Hosabelaku Complex, # 3417/13, 2nd & 3rd Floor				  				  30 Feet Road, Service Road, RPC Layout , Vijay Nagar","				        Bangalore / Bengaluru	                Karnataka , 560040	 (080) 9620020502",www.abcforjava.org
ABC Info Soft Pvt Ltd,"  Address - F-107, Sector-8				        Noida	                Uttar Pradesh , 201301	 (0120) 4100556",www.abcinfosoft.com,
ABC Infomedia Pvt Ltd,"  Address - 5,Kamatchiamman Kovil Lane Karungal Palayam				        Erode	                Tamil Nadu , 638003	 (0424) 2212313",www.abcinfomedia.com,
ABC Systems Pvt Ltd.,"  Address - 38, 2nd Floor, Todar Mal Road				  				  Bengali Market","				        New Delhi	                Delhi , 110001	 (011) 23753300",
ABCON Engineering & Systems Pvt Ltd,"  Address - No 508 5th Floor Brigade Towers, 135 Brigade Road				        Bangalore / Bengaluru	                Karnataka , 560025	 (080) 9632492803",www.abconindia.com,
Abhinav InfoSoft Pvt Ltd,"  Address - Gate of Line No.14 Hazira Chowk				        Gwalior	                Madhya Pradesh , 474003	 (0751) 4071274  9074444274",abhinavinfosoft.com,
Abhitech IT Solutions Pvt Ltd,"  Address - 605, Titanium Tower, Shalimar Corporate Park				  				  Vibhuti Khand, Gomti Nagar","				        Lucknow	                Uttar Pradesh , 226016	 (0522) 9956465555",www.abhitech.com
Abhiwyakti - Wings to Creativity,"  Address - 53B/2 Rama Road Industrial Area, Moti Nagar,				        New Delhi	                Delhi , 110015	 (011) 7838015334",www.abhiwyakti.com,
Abiba Systems Pvt Ltd,  Address - No. 17/12-30 4th Cross 30th Main				  				  Banashankari 3rd Stage,"				        Bangalore / Bengaluru	                Karnataka , 560085	 (080) 26796810",www.abibasystems.com
ABIT Corp,"  Address - 100 Sarv Suvidha Nagar, Bicholi				  				  Hapsi near Bengali Square above Dev's Bakery Place,","				        Indore	                Madhya Pradesh , 452016	 (0731) 8109145666",www.abitcorp.com
Able Air- O- Technology,"  Address - 90/65 A, Jadunagar Colony, Behala				        Kolkata	                West Bengal , 700034	 (033) 24470154",www.ableairo.com,
Ably Soft Pvt Ltd,"  Address - Plot No 268, Sector 82,				  				  JLPL Industrial Area","				        Mohali	                Chandigarh , 160071	 (0172) 7814141478",www.ablysoft.com
ABM Knowledgeware Ltd,"  Address - ABM House, Plot No-268, Near Shopper Stop				  				  Linking Road, Bandra(W)","				        Mumbai	                Maharashtra , 400050	 (022) 42909700",www.abmindia.com
Abrif Technologies Pvt Ltd,  Address - 4B Lakasa Apartments				  				  Banjara Hills. Road No. 1,"				        Hyderabad	                Telangana , 500034	 (040) 09391387653",www.abrif.com
ABS India Pvt Ltd.,"  Address - No 13, L R Mansion, II Cross,				  				  Kodihalli, HAL Main Road,Opp West Gate Leela Palace","				        Bangalore / Bengaluru	                Karnataka , 560008	 (080) 41984040",www.absindia.net
ABS Infotech Pvt Ltd,"  Address - B-278 C.R. Park				        New Delhi	                Delhi , 110019	 (011) 26273625  26274806",www.absi-india.com,
